lat,lon,id,link
39.9,116.06,beijing,https://aqicn.org/city/beijing/
39.62,118.01,tangshan,https://aqicn.org/city/tangshan/
40.09,113.13,datong,https://aqicn.org/city/datong/
39.12,116.63,tianjin,https://aqicn.org/city/tianjin/
38.31,116.7,cangzhou,https://aqicn.org/city/cangzhou/
37.86,112.37,taiyuan,https://aqicn.org/city/china/taiyuan/jiancaoping/
37.51,111.04,luliang,https://aqicn.org/city/luliang/
37.07,114.32,xingtai,https://aqicn.org/city/xingtai/
37.74,115.5,hengshui,https://aqicn.org/city/hengshui/
37.44,116.15,dezhou,https://aqicn.org/city/dezhou/
37.4,117.64,binzhou,https://aqicn.org/city/binzhou/
37.43,118.29,dongying,https://aqicn.org/city/dongying/
36.72,118.96,weifang,https://aqicn.org/city/weifang/
37.54,121.21,yantai,https://aqicn.org/city/yantai/
37.48,121.91,weihai,https://aqicn.org/city/weihai/
36.136,120.03,qingdao,https://aqicn.org/city/shandong/qingdao/shibeiqu2hao/
36.82,117.88,zibo,https://aqicn.org/city/zibo/
36.64,116.69,jinan,https://aqicn.org/city/shandong/jinan/quanchengguangchang/
36.15,116.97,taian,https://aqicn.org/city/taian/
36.60,114.31,handan,https://aqicn.org/city/handan/
36.44,115.82,liaocheng,https://aqicn.org/city/liaocheng/
36.1,114.18,anyang,https://aqicn.org/city/anyang/
36.18,112.95,changzhi,https://aqicn.org/city/changzhi/
35.75,114.21,hebi,https://aqicn.org/city/hebi/
35.76,114.85,puyang,https://aqicn.org/city/zhejiang/jinhuashi/pujiangzhongxue/
35.39,116.43,jining,https://aqicn.org/city/jining/
35.05,118,linyi,https://aqicn.org/city/shandong/linyi/yihexiaoqu/
35.44,119.16,rizhao,https://aqicn.org/city/rizhao/
34.59,118.87,lianyungang,https://aqicn.org/city/jiangsu/lianyungang/shijiancezhan/
34.81,117.16,zaozhuang,https://aqicn.org/city/zaozhuang/
35.24,115.13,heze,https://aqicn.org/city/shandong/heze/shizhengxie/
35.29,113.72,xinxiang,https://aqicn.org/city/xinxiang/
34.74,113.33,zhengzhou,https://aqicn.org/city/china/zhengzhou/heyida/
34.63,116.87,xuzhou,https://aqicn.org/city/xuzhou/
33.94,118.12,suqian,https://aqicn.org/city/jiangsu/suqian/suqianxueyuan/
33.36,119.99,yancheng,https://aqicn.org/city/jiangsu/yancheng/yanchengdianchang/
33.6,119.04,huaian,https://aqicn.org/city/jiangsu/huaian/chuzhouqujiancezhan/
33.63,116.82,suzhou,https://aqicn.org/city/jiangsu/suzhou/wuzhongqu/
33.61,114.48,zhoukou,https://aqicn.org/city/zhoukou/
33.73,113.14,pingdingshan,https://aqicn.org/city/pingdingshan/
32.11,113.92,xinyang,https://aqicn.org/city/cnhenan/xinyang/shihequ/shiniangjiugongsi/
32.9,115.67,fuyang,https://aqicn.org/city/china/fuyang/shijiancezhan/
32.94,117.19,bengbu,https://aqicn.org/city/china/bangbu/bangbuxueyuan/
32.48,119.75,taizhou,https://aqicn.org/city/jiangsu/taizhou/liuxueshengchuangyeyuan/
32.41,119.15,yangzhou,https://aqicn.org/city/yangzhou/
32.3,118.14,chuzhou,https://aqicn.org/city/chuzhou/
32.09,118.4,nanjing,https://aqicn.org/city/nanjing/
31.81,119.61,changzhou,https://aqicn.org/city/jiangsu/changzhou/
32.01,120.71,nantong,https://aqicn.org/city/jiangsu/nantong/chengzhong/
31.22,120.81,shanghai,https://aqicn.org/city/shanghai/
31.32,119.12,suzhou,https://aqicn.org/city/jiangsu/suzhou/wuzhongqu/
31.57,120.14,wuxi,https://aqicn.org/city/jiangsu/wuxi/caozhang/
31.67,118.34,maanshan,https://aqicn.org/city/maanshan/
31.85,117.12,hefei,https://aqicn.org/city/china/hefei/sanlijie/
31.89,116.64,tongling,https://aqicn.org/city/tongling/
30.53,116.96,anqing,https://aqicn.org/city/anqing/
30.95,118.75,xuancheng,https://aqicn.org/city/xuancheng/
29.72,116.82,chizhou,https://aqicn.org/city/chizhou/
30.26,119.84,hangzhou,https://aqicn.org/city/zhejiang/hangzhoushi/zhejiangnongda/
29.62,120.39,shaoxing,https://aqicn.org/city/zhejiang/shaoxingshi/shuxiawang/
29.86,121.24,ningbo,https://aqicn.org/city/ningbo/taiguxiaoxue/
29.81,121.94,zhoushan,https://aqicn.org/city/zhejiang/zhoushanshi/dinghaitanfeng/
28.66,121.08,taizhou,https://aqicn.org/city/jiangsu/taizhou/liuxueshengchuangyeyuan/
29.07,119.48,jinhua,https://aqicn.org/city/zhejiang/jinhuashi/shiwuzhong/
28.95,118.72,quzhou,https://aqicn.org/city/quzhou/
29.7,118.15,huangshan,https://aqicn.org/city/china/huangshan/huangshanquzhengfu5haolou/
29.64,115.77,jiujiang,https://aqicn.org/city/jiujiang/
29.19,115.28,nanchang,https://aqicn.org/city/china/nanchang/shenglinyegongsi/
27.95,116.2,fuzhoushi,https://aqicn.org/city/fuzhoushi/
28.51,115.79,yingtan,https://aqicn.org/city/yingtan/
27.55,116.79,shangrao,https://aqicn.org/city/shangrao/
28.32,119.27,lishui,https://aqicn.org/city/lishui/
27.99,120.51,wenzhou,https://aqicn.org/city/zhejiang/wenzhoushi/ouhai/
26.65,119.45,ningde,https://aqicn.org/city/ningde/
26.64,118.08,nanping,https://aqicn.org/city/nanping/
26.25,117.46,sanming,https://aqicn.org/city/sanming/
25.07,116.86,longyan,https://aqicn.org/city/longyan/
24.51,117.51,zhangzhou,https://aqicn.org/city/zhangzhou/
24.47,117.94,xiamen,https://aqicn.org/city/xiamen/
24.9,118.41,quanzhou,https://aqicn.org/city/quanzhou/
25.41,118.85,putian,https://aqicn.org/city/putian/
26.05,119.15,fuzhou,https://aqicn.org/city/china/fuzhou/wusibeilu/
24.66,114.97,chaozhou,https://aqicn.org/city/guangdong/chaozhou/xiyuanlu/
25.47,113.68,meizhou,https://aqicn.org/city/meizhou/
23.72,114.64,heyuan,https://aqicn.org/city/heyuan/
22.73,114.06,huizhou,https://aqicn.org/city/huizhou/
22.78,115.27,shanwei,https://aqicn.org/city/shanwei/
22.97,113.46,dongguan,https://aqicn.org/city/dongguan/
23.12,112.56,guangzhou,https://aqicn.org/city/guangdong/guangzhou/shijiancezhan/
23.05,112.31,zhaoqing,https://aqicn.org/city/guangdong/zhaoqing/chengzhongzizhan/
23,112.94,foshan,https://aqicn.org/city/guangdong/fushanshi/wenhualubianzhan/
22.56,112.94,jiangmen,https://aqicn.org/city/guangdong/jiangmenshi/jianghaifumin/
22.8,107.93,nanning,https://aqicn.org/city/china/nanning/shijiancezhan/
22.51,113.24,zhongshan,https://aqicn.org/city/guangdong/zhongshan/zhangxi/
22.55,113.72,shenzhen,https://aqicn.org/city/shenzhen/
22.33,114.12,hongkong,https://aqicn.org/city/hongkong/mong-kok/
22.16,113.52,macau,https://aqicn.org/city/macau/parque-central-da-taipa/
21.78,111.66,yangjiang,https://aqicn.org/city/guangdong/yangjiang/yuanyanghu/
21.6,110.82,maoming,https://aqicn.org/city/guangdong/maoming/gaoling/
21.27,110.20,zhanjiang,https://aqicn.org/city/guangdong/zhanjiang/huanbaojusushe/
23.1,105.43,baise,https://aqicn.org/city/china/baise/shijiancezhan/
24.93,102.65,kunming,https://aqicn.org/city/china/kunming/dongfengdonglu/
16.83,96.01,yangon,https://aqicn.org/city/maynmar/rangoon/us-embassy/
17.96,102.52,vientiane,https://aqicn.org/city/laos/vientiane/us-embassy/
18.79,98.87,chiangmai,https://aqicn.org/city/chiang-mai/
13.72,100.3,bangkok,https://aqicn.org/city/bangkok/
3.13,101.6,kuala-lumpur,https://aqicn.org/city/kuala-lumpur/
1.34,103.71,singapore,https://aqicn.org/city/singapore/central/
6.18,106.83,jakarta,https://aqicn.org/city/indonesia/jakarta/us-consulate/south/


































